name,pos,team,adp,notes
Jerome Ford,RB,WAS,335.0,fp_rank=382;bye=7
Darius Slayton,WR,NYG,336.0,fp_rank=304;bye=8
Dawson Knox,TE,BUF,336.0,fp_rank=320;bye=7
Justin Joly,TE,DEN,337.0,fp_rank=383;bye=10
Nick Westbrook-Ikhine,WR,IND,338.0,fp_rank=384;bye=13
Marvin Mims Jr.,WR,DEN,339.0,fp_rank=324;bye=10
Ja'Kobi Lane,WR,BAL,339.5,fp_rank=314;bye=13
Anthony Richardson Sr.,QB,IND,341.0,fp_rank=385;bye=13
Elijah Arroyo,TE,SEA,345.0,fp_rank=333;bye=11
New York Jets DST,DST,,345.0,fp_rank=386;bye=13
Xavier Legette,WR,CAR,346.0,fp_rank=335;bye=5
Max Klare,TE,LAR,347.0,fp_rank=387;bye=11
Ty Simpson,QB,LAR,348.0,fp_rank=388;bye=11
Tutu Atwell,WR,MIA,349.0,fp_rank=389;bye=6
Jonnu Smith,TE,,350.0,fp_rank=390
Arizona Cardinals DST,DST,,351.0,fp_rank=391;bye=14
Mac Jones,QB,SF,353.0,fp_rank=392;bye=8
Seth McGowan,RB,IND,355.0,fp_rank=393;bye=13
Oscar Delp,TE,NO,358.0,fp_rank=394;bye=8
Trey Benson,RB,ARI,361.0,fp_rank=395;bye=14
Jameis Winston,QB,NYG,362.0,fp_rank=396;bye=8
Tahj Brooks,RB,CIN,366.0,fp_rank=397;bye=6
Marcus Mariota,QB,WAS,367.0,fp_rank=398;bye=7
Tyler Higbee,TE,LAR,373.0,fp_rank=399;bye=11
Mack Hollins,WR,NE,375.0,fp_rank=400;bye=11
Joe Flacco,QB,CIN,376.0,fp_rank=401;bye=6
Olamide Zaccheaus,WR,ATL,379.0,fp_rank=402;bye=11
Isaiah Davis,RB,NYJ,383.0,fp_rank=403;bye=13
Devin Singletary,RB,NYG,387.0,fp_rank=404;bye=8
Tez Johnson,WR,TB,391.0,fp_rank=405;bye=10
Noah Gray,TE,KC,393.0,fp_rank=406;bye=5
Brashard Smith,RB,KC,395.0,fp_rank=407;bye=5
Kaleb Johnson,RB,PIT,400.0,fp_rank=408;bye=9
Kyle Williams,WR,NE,405.0,fp_rank=409;bye=11
Devin Neal,RB,NO,407.0,fp_rank=410;bye=8
